,Cluster,Region,Size (vox),Peak Z (unc.),p (unc.),Peak Z (FWE),p (FWE),Sig.,MNI x,MNI y,MNI z
1,22,Supramarginal Gyrus (R),1226,3.962,0.0000,0.0,0.5000,n.s.,54,-40,38
2,26,Cerebellum (R),300,3.938,0.0000,0.0,0.5000,n.s.,62,-24,-24
3,18,"Region (26,14,42)",341,3.938,0.0000,0.0,0.5000,n.s.,26,14,42
4,2,"Region (-60,-16,6)",339,3.938,0.0000,0.0,0.5000,n.s.,-60,-16,6
5,13,"Region (-6,-28,56)",341,3.938,0.0000,0.0,0.5000,n.s.,-6,-28,56
6,12,Occipital Cortex (L),341,3.938,0.0000,0.0,0.5000,n.s.,-12,-78,26
7,23,Cerebellum (R),341,3.938,0.0000,0.0,0.5000,n.s.,48,6,-34
8,10,Hippocampus (L),191,3.938,0.0000,0.0,0.5000,n.s.,-28,-10,-46
9,17,Occipital Cortex (R),341,3.938,0.0000,0.0,0.5000,n.s.,6,-66,20
10,8,Occipital Cortex (L),341,3.938,0.0000,0.0,0.5000,n.s.,-36,-72,32
11,25,Inf. Temporal Gyrus (R),266,3.938,0.0000,0.0,0.5000,n.s.,56,-52,-24
12,6,"Region (-46,26,-12)",1316,3.938,0.0000,0.0,0.5000,n.s.,-46,26,-12
13,5,"Region (-48,2,20)",341,3.938,0.0000,0.0,0.5000,n.s.,-48,2,20
14,4,"Region (-48,-4,-10)",341,3.938,0.0000,0.0,0.5000,n.s.,-48,-4,-10
15,3,Inf. Temporal Gyrus (L),315,3.938,0.0000,0.0,0.5000,n.s.,-48,-76,8
16,21,"Region (30,48,12)",918,3.557,0.0002,0.0,0.5000,n.s.,30,48,12
17,24,Occipital Cortex (R),283,3.557,0.0002,0.0,0.5000,n.s.,56,-64,24
18,1,"Region (-60,-40,14)",689,3.557,0.0002,0.0,0.5000,n.s.,-60,-40,14
19,16,"Region (2,-10,38)",365,3.557,0.0002,0.0,0.5000,n.s.,2,-10,38
20,15,"Region (0,8,32)",365,3.557,0.0002,0.0,0.5000,n.s.,0,8,32
21,9,dlPFC (L),209,3.557,0.0002,0.0,0.5000,n.s.,-34,50,32
22,14,"Region (-4,24,18)",500,3.557,0.0002,0.0,0.5000,n.s.,-4,24,18
23,19,Cerebellum (R),187,3.506,0.0002,0.0,0.5000,n.s.,26,36,-22
24,11,"Region (-22,-40,78)",176,3.506,0.0002,0.0,0.5000,n.s.,-22,-40,78
25,20,"Region (30,-10,50)",365,3.496,0.0002,0.0,0.5000,n.s.,30,-10,50
26,7,Inf. Temporal Gyrus (L),362,3.496,0.0002,0.0,0.5000,n.s.,-42,-42,-24
