,Cluster,Region,Size (vox),Peak Z (unc.),p (unc.),Peak Z (FWE),p (FWE),Sig.,MNI x,MNI y,MNI z
1,1,Occipital Cortex (L),515,1.919,0.0275,0.0,0.5000,n.s.,-58,-64,24
2,2,Cerebellum (L),491,1.919,0.0275,0.0,0.5000,n.s.,-46,-16,-30
3,3,Occipital Cortex (L),343,1.919,0.0275,0.0,0.5000,n.s.,-40,-72,52
4,4,Occipital Cortex (L),515,1.919,0.0275,0.0,0.5000,n.s.,-22,-86,10
5,5,"Region (-20,8,50)",515,1.919,0.0275,0.0,0.5000,n.s.,-20,8,50
6,6,"Region (-20,52,6)",515,1.919,0.0275,0.0,0.5000,n.s.,-20,52,6
7,7,Precuneus / PCC,684,1.919,0.0275,0.0,0.5000,n.s.,-2,-52,30
8,8,dACC / mPFC,515,1.919,0.0275,0.0,0.5000,n.s.,-2,26,38
9,9,Cerebellum (L),301,1.919,0.0275,0.0,0.5000,n.s.,0,14,-24
10,10,Occipital Cortex (R),515,1.919,0.0275,0.0,0.5000,n.s.,2,-72,4
11,11,"Region (16,-34,66)",515,1.919,0.0275,0.0,0.5000,n.s.,16,-34,66
12,12,OFC (R),469,1.919,0.0275,0.0,0.5000,n.s.,16,34,-16
13,13,"Region (56,-22,-4)",434,1.919,0.0275,0.0,0.5000,n.s.,56,-22,-4
